Title,Format,Price
The Hunger Games,Paperback,28.17
Harry Potter and the Order of the Phoenix,Paperback,4.0
Pride and Prejudice,Paperback,5.99
To Kill a Mockingbird,Paperback,59.99
The Book Thief,Paperback,8.27
Twilight,Paperback,3.69
Animal Farm,Paperback,19.8
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Paperback,32.9
The Chronicles of Narnia,Paperback,3.8
The Fault in Our Stars,Paperback,7.85
Gone with the Wind,Paperback,12.23
The Giving Tree,Hardcover,2.85
The Picture of Dorian Gray,Paperback,5.45
Wuthering Heights,Paperback,3.99
Jane Eyre,Paperback,4.82
The Perks of Being a Wallflower,Paperback,5.71
The Da Vinci Code,Paperback,9.19
The Great Gatsby,Paperback,3.49
Alice's Adventures in Wonderland / Through the Looking-Glass,Paperback,4.2
Memoirs of a Geisha,Paperback,3.72
The Little Prince,Paperback,15.47
Divergent,Paperback,3.66
The Lightning Thief,Paperback,6.99
Les Misérables,Paperback,9.99
Crime and Punishment,Paperback,6.99
Lord of the Flies,Paperback,18.95
Romeo and Juliet,Paperback,8.2
Anne of Green Gables,Paperback,7.48
City of Bones,Paperback,6.28
The Hitchhiker's Guide to the Galaxy,Paperback,14.99
The Help,Paperback,6.29
Ender’s Game,Paperback,1.15
Charlotte's Web,Paperback,8.07
Dracula,Paperback,17.33
Of Mice and Men,Paperback,18.69
The Alchemist,Paperback,14.4
Harry Potter and the Sorcerer's Stone,Paperback,7.35
The Catcher in the Rye,Paperback,16.77
Brave New World,Paperback,9.6
One Hundred Years of Solitude,Paperback,49.68
Fahrenheit 451,Paperback,6.99
The Time Traveler's Wife,Paperback,9.19
A Thousand Splendid Suns,Paperback,8.99
The Princess Bride,Paperback,18.95
The Secret Garden,Paperback,1.99
A Game of Thrones,Paperback,65.95
The Outsiders,Paperback,6.01
A Wrinkle in Time,Paperback,3.47
The Odyssey,Paperback,10.11
Little Women,Paperback,13.95
The Adventures of Huckleberry Finn,Paperback,1.01
1984,Paperback,15.86
The Lovely Bones,Paperback,2.2
Where the Wild Things Are,Paperback,6.99
The Kite Runner,Paperback,2.9
Frankenstein: The 1818 Text,Paperback,5.69
Green Eggs and Ham,Hardcover,11.03
Life of Pi,Paperback,3.95
A Tale of Two Cities,Paperback,4.49
The Handmaid’s Tale,Paperback,6.99
Harry Potter and the Deathly Hallows,Paperback,4.0
The Giver,Paperback,54.58
Lolita,Paperback,7.99
Water for Elephants,Paperback,14.58
Slaughterhouse-Five,Paperback,9.07
Dune,Paperback,6.99
The Stand,Paperback,7.69
Harry Potter and the Prisoner of Azkaban,Paperback,4.0
Catch-22,Paperback,2.5
The Bell Jar,Paperback,7.74
Matilda,Paperback,2.81
The Pillars of the Earth,Paperback,10.99
The Adventures of Sherlock Holmes,Paperback,6.5
Watership Down,Paperback,3.49
Great Expectations,Paperback,3.48
Rebecca,Paperback,8.27
The Fellowship of the Ring,Paperback,6.74
The Girl with the Dragon Tattoo,Paperback,5.79
Outlander,Paperback,9.9
One Flew Over the Cuckoo's Nest,Paperback,9.19
The Color Purple,Paperback,10.38
My Sister's Keeper,Paperback,5.72
Anna Karenina,Paperback,9.19
The Brothers Karamazov,Paperback,21.09
A Tree Grows in Brooklyn,Paperback,25.95
A Clockwork Orange,Paperback,4.81
The Road,Paperback,8.99
Angela's Ashes,Paperback,8.99
Harry Potter and the Philosopher’s Stone,Paperback,17.09
Vampire Academy,Paperback,3.68
Siddhartha,Paperback,7.99
The Golden Compass,Paperback,8.27
And Then There Were None,Paperback,16.73
It,Paperback,4.83
To Kill a Mockingbird,Paperback,7.5
The Poisonwood Bible,Paperback,3.9
The Shining,Paperback,3.83
The Complete Stories and Poems,Paperback,38.14
Interview with the Vampire,Paperback,17.69
Don Quixote,Paperback,7.04
