Title,Author,Total ratings,Average rating,Total reviews,Description,Top Genre,Date published,Pages,Currently reading,Want to read
Twilight,Stephenie Meyer,6154586.0,3.64,122046.0,"About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",Fantasy,"October 5, 2005",498,45.9k,1m
Breaking Dawn,Stephenie Meyer,1603022.0,3.73,51484.0,"""Don't be afraid,"" I murmured. ""We belong together.""I was abruptly overwhelmed by the truth of my own words. This moment was so perfect, so right, there was no way to doubt it.His arms wrapped around me,holding me against him....It felt like every nerve ending in my body was a live wire.""Forever,"" he agreed.WHEN YOU LOVED THE ONE WHO WAS KILLING YOU, IT LEFT YOU NO OPTIONS. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved?TO BE IRREVOCABLY IN LOVE WITH A VAMPIRE is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, a tumultuous year of temptation, loss, and strife have led her to the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs.NOW THAT BELLA HAS MADE HER DECISION, a startling chain of unprecedented events is about to unfold with potentially devastating, and unfathomable, consequences. Just when the frayed strands of Bella's life - first discovered in Twilight, then scattered and torn in New Moon and Eclipse - seem ready to heal and knit together, could they be destroyed... forever?THE ASTONISHING, BREATHLESSLY anticipated conclusion to the Twilight Saga, Breaking Dawn illuminates the secrets and mysteries of this spellbinding romantic epic that has entranced millions.",Fantasy,"August 2, 2008",756,14.6k,225k
New Moon,Stephenie Meyer,1805681.0,3.58,54577.0,"There is an alternate cover edition for ISBN13 9780316160193 here. I knew we were both in mortal danger. Still, in that instant, I felt well. Whole. I could feel my heart racing in my chest, the blood pulsing hot and fast through my veins again. My lungs filled deep with the sweet scent that came off his skin. It was like there had never been any hole in my chest. I was perfect - not healed, but as if there had never been a wound in the first place. I FELT LIKE I WAS TRAPPED IN ONE OF THOSE TERRIFYING NIGHTMARES, the one where you have to run, run till your lungs burst, but you can't make your body move fast enough.... But this was no dream, and, unlike the nightmare, I wasn't running for my life; I was racing to save something infinitely more precious. My own life meant little to me today. FOR BELLA SWAN THERE IS ONE THING more important than life itself: Edward Cullen. But being in love with a vampire is even more dangerous than Bella could ever have imagined. Edward has already rescued Bella from the clutches of one evil vampire, but now, as their daring relationship threatens all that is near and dear to them, they realize their troubles may be just beginning....LEGIONS OF READERS ENTRANCED BY THE New York Times bestseller Twilight are hungry for the continuing story of star-crossed lovers Bell and Edward. In New Moon, Stephanie Meyer delivers another irresistible combination of romance and suspense with a supernatural spin. passionate, riveting, and full of surprising twists and turns, this vampire love saga is well on its way to literary immortality.",Fantasy,"September 6, 2006",563,16.7k,223k
Eclipse,Stephenie Meyer,1701086.0,3.72,42651.0,"""BELLA?""Edward's soft voice came from behind me. I turned to see him spring lightly up the porch steps, his hair windblown from running. He pulled me into his arms at once, just like he had in the parking lot, and kissed me again.This kiss frightened me. There was too much tension, too strong an edge to the way his lips crushed mine - like he was afraid we had only so much time left to us.As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob - knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella has one more decision to make: life or death. But which is which?READERS CAPTIVATED BY Twilight AND New Moon will eagerly devour Eclipse, the much-anticipated third book in Stephenie Meyer's riveting vampire love saga.",Young Adult,"August 7, 2007",629,13.4k,209k
Fifty Shades of Grey,E.L. James,2432484.0,3.66,82326.0,"When literature student Anastasia Steele goes to interview young entrepreneur Christian Grey, she encounters a man who is beautiful, brilliant, and intimidating. The unworldly, innocent Ana is startled to realize she wants this man and, despite his enigmatic reserve, finds she is desperate to get close to him. Unable to resist Ana’s quiet beauty, wit, and independent spirit, Grey admits he wants her, too—but on his own terms. Shocked yet thrilled by Grey’s singular erotic tastes, Ana hesitates. For all the trappings of success—his multinational businesses, his vast wealth, his loving family—Grey is a man tormented by demons and consumed by the need to control. When the couple embarks on a daring, passionately physical affair, Ana discovers Christian Grey’s secrets and explores her own dark desires.Erotic, amusing, and deeply moving, the Fifty Shades Trilogy is a tale that will obsess you, possess you, and stay with you forever.This book is intended for mature audiences.",Romance,"May 25, 2011",356,49.7k,657k
Miles to Go,Miley Cyrus,9528.0,3.52,912.0,"  “There are multiple sides to all of us. Who we are and who we might be if we follow our dreams.”                                   - Miley Cyrus  Three years ago, Miley Cyrus was a virtual unknown. Her life in rural Tennessee was filled with family, friends, school, cheerleading, and the daily tasks of living on a farm. And then came a little show called Hannah Montana . Almost overnight, Miley would rocket to superstardom, becoming a television and singing phenomenon. Quiet days were replaced with sold-out concerts, television appearances, and magazine shoots. But through it all, Miley has remained close to her family and friends and has stayed connected to the Southern roots that made her so strong. In Miles to Go, Miley offers an honest, humorous, and often touching story of one girl's coming-of-age--from private moments with her pappy to off-roading with her dad, Billy Ray, to her run-ins with mean girls. Miley talks about suffering through drama and heartbreak and coming out the other end unscathed (relatively). And now for the first time, she will discuss it all—the milestones still left to reach (driver’s license! voting!), dreams to live out (travel to Asia! find true love!), and the lessons to be learned (remembernig to enjoy every moment!). This is a truly unique look inside the world of one of today’s biggest and brightest stars as she tackles looking back and moving forward.",Nonfiction,"January 1, 2009",272,244,"3,604"
"Guilty: Liberal ""Victims"" and Their Assault on America",Ann Coulter,2474.0,3.57,173.0,"“Liberals seem to have hit upon a reverse Christ story as their belief system. He suffered and died for our sins; liberals make the rest of us suffer for sins we didn’t commit.”Who are the victims here? To hear liberals tell it, you’d think they do nothing but suffer at the hands of ruthless entities like the “Republican Attack Machine” and Fox News.Really?It’s just another instance of the Big Lie, of course, told so often that some people have actually started to believe it. In Guilty, Ann Coulter explodes this myth to reveal that when it comes to bullying, no one outdoes the Left. Citing case after case, ranging from the hilariously absurd to the shockingly vicious, Coulter dissects these so-called victims who are invariably the oppressors. For instance:•Single mothers: Getting pregnant isn’t like catching the flu. There are volitional acts involved–someone else explain it to Dennis Kucinich. By this purposeful act, single mothers cause irreparable harm to other human beings–their own children–as countless studies on the subject make clear.•The myth of the Republican Attack Machine: The most amazing thing liberals have done is create the myth of a compliant right-wing media with Republicans badgering baffled reporters into attacking Democrats. It’s so mad, it’s brilliant. It’s one kind of lie to say the Holocaust occurred when the Swedes killed the Jews. But it’s another kind of lie entirely to say the Holocaust occurred when the Jews killed the Nazis.•“Brave” liberals: In addition to being beautiful, compassionate tribunes of the downtrodden, liberals are brave. I know that because they’re always telling me how brave they are. Why, five nights a week, MSNBC’s Keith Olbermann courageously books guests who completely agree with him. It doesn’t get much braver than that.•Obambi’s luck: While B. Hussein Obama piously condemned attacks on candidates’ ­families, his media and campaign surrogates ripped open the court-sealed divorce records of his two principal opponents in his Senate race in Illinois.•The offenders are offended!: Republican senator George Allen’s career was destroyed when he made a joking remark to a privileged Indian American harassing him at campaign stops. When did rich kids become a new protected category that must be shielded from words that are insulting in other languages? How did Sidarth become a specially anointed victim? What did we ever do to India? And why didn’t we ever hear about the far more offensive anti-Semitic flyers of Allen’s opponent Jim Webb?One essential and recurring truth about self-righteous liberals, says Coulter, is that “they viciously attack all while wailing that they are the true victims.” With Guilty–a mordantly witty and shockingly specific catalog of offenses that liberals would rather we ignore and forget–Ann Coulter presents exhibits A through Z.From the Hardcover edition.",Politics,"January 1, 2008",496,47,"1,022"
Scientology: The Fundamentals of Thought,L. Ron Hubbard,949.0,2.54,104.0,"Drug addiction, rising divorce rates, increasing crime and illiteracy. Why are people unable to solve some of the most pressing problems of society today? In this book, L. Ron Hubbard gives readers a practical means to overcome personal problems, become more at peace with themselves, improve communication in the family, and find greater happiness.",Religion,"January 1, 1956",229,22,822
The Twilight Saga,Stephenie Meyer,116925.0,3.92,4063.0,"Stephenie Meyer holds you spellbound with her incredible New York Times bestselling Twilight Saga. Experience the entire series on audio with narrator Ilyana Kadushin and prepare to be amazed by the more than 60 hours of listening pleasure.Twilight (11 CDs):When Isabella Swan moves to the gloomy town of Forks, Washington, and meets the mysterious, alluring Edward Cullen, her life takes a thrilling and terrifying turn. With his porcelain skin, golden eyes, mesmerizing voice, and supernatural gifts, Edward is both irresistible and impenetrable. Up until now, he has managed to keep his true identity hidden, but Bella is determined to uncover his dark secret.New Moon (12 CDs):For Bella Swan, there is one thing more important than life Edward Cullen. But being in love with a vampire is even more dangerous than Bella ever could have imagined. Edward has already rescued Bella from the clutches of one evil vampire, but now, as their daring relationship threatens all that is near and dear to them, they realize their troubles may be just beginning.Eclipse (13 CDs):As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob—knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf.Breaking Dawn (14 CDs):Twilight tempted the imagination. New Moon made readers thirsty for more. Eclipse turned the saga into a worldwide phenomenon. And now, the story that everyone has been waiting for....Breaking Dawn, the final installment in the #1 bestselling Twilight Saga, will take your breath away.",Fantasy,"January 1, 2005",65,"1,000",17.8k
The Da Vinci Code,Dan Brown,2247711.0,3.90,52579.0,"ISBN 9780307277671 moved to this edition.While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever.",Fiction,"March 18, 2003",489,525,11.1k
