Title,Author,Total ratings,Average rating,Total reviews,Description,Top Genre,Date published,Pages,Currently reading,Want to read
Besos entre líneas,May R. Ayamonte,2202,2.15,585,"Emma es una joven cuya vida no es nada fácil. Cuando tenía seis años, su madre murió en un accidente de coche y su padre, al que tiene que cuidar los fines de semana, sufrió grandes secuelas físicas e intelectuales. Entre los estudios y sus responsabilidades familiares, Emma no tiene mucho tiempo para hacer lo propio de su edad. Pero por suerte hay algo que anima sus días: la literatura. Los libros, su blog y su nuevo canal de Youtube son su refugio, y mientras todas las personas de su entorno tienen vida social, Emma prefiere pasar las horas en la biblioteca.Todo cambia cuando Eric, el chico que acaba de llegar al pueblo, entra en su vida. Eric es guapísimo y arrollador, pero también esconde muchos secretos y un pasado oscuro por el que tiene que cumplir condena haciendo trabajo comunitario.¿Podrá Eric sacar a Emma de la burbuja en la que vive? ¿Por qué la relación con Eric es tan complicada y confusa? ¿Por qué es tan hermético y enigmático? ¿Qué oculta?",Romance,"12, 2016",345,50,"1,957"
Birth Control is Sinful in the Christian Marriages and also Robbing God of Priesthood Children!!,Eliyzabeth Yanne Strong-Anderson,273,1.85,96,"This is a Holy Spirit Manuscript book: when you buy this book you will be reading a Holy Spirit directed book from God & Christ Jesus. THIS BOOK IS GODS HOLYSPIRIT VOICE: THE CALL FOR ALL CHRISTIANS & CHURCHES TO REPENT FROM ALL THEIR SINS: EVEN FROM FALSE CHRIST TEACHINGS. BIRTH CONTROL SINS HAVE CURSE THE CHURCH WITH SPIRITUAL WHOREDOM & FALSE WORSHIP. RESULTING IN THE PERSECUTIONS: AGAINST THE HOLY PEOPLE. THIS BOOK MAY BE REVISED: BECAUSE OF COMPUTER DICTATORS: MANY WORDS IN THIS BOOK: MADE HAVE BEEN CHANGED: TO DISCREDIT: THE AUTHOR. BUT IN TRUTH: I AM A HOLYSPIRIT CHOSEN ANOINTED DISCIPLE FOR GOD & CHRIST JESUS. EVEN FOR JEWS, MUSLIMS & GENTILE SINNERS. MANY PEOPLE WILL LEARN HOW TO> BECOME REAL BORN AGAIN CHRISTIAN: THROUGH THIS HOLYSPIRIT BOOK & THROUGH THE PROTECTION & SUPPORT OF MY HOLYSPIRIT LIFE!! JOHN 3 & 15. ALL NATIONS WILL OVER COME THE SINS OF BIRTH CONTROL. *BECAUSE HOLY DOMINIONSHIP IS ONE OF THE FIRST COMMANDMENT IN GENESIS 1;26-31. ALL BELIEVERS: WILL COME TO A HOLY VOW OF REPENTANCE: THROUGH GODS RESTORATION & THROUGH GODS ADOPTION VOWS. YES!! THE KINGDOM OF GOD & HEAVEN!! IS AT HAND!! FOR ALL WHO BELIEVE IN THE ONE CREATOR GOD & CHRIST JESUS OUR HOLYSPIRIT ETERNAL LIFE SAVIOR: SURELY YOUR NAMES WILL BE WRITTEN IN THE LAMBS BOOK OF LIFE!! *WHEN YOU SUPPORT & PROTECT MY HOLYSPIRIT LIFE. WE ARE BRANCHES >JOHN 15REMEMBER: GOD HAS MADE ME A HOLYSPIRIT VOICE FOR THE BRIDE OF GOD & CHRIST JESUS IN 1996 GOD TOLD ME TO TEACH THE GOSPEL ON CABLE TELEVISION IN TUCSON ARIZONA. *CONCERNING THE SINS OF THE CHURCHES: &CONCERNING THE>LACK OF GIVING TO THE POOR & ORPHANS: CHRISTIAN CHURCHES SHOULD: BUILD MORE:> WATER WELLS: & BUILD LOW INCOME HOUSINGS: MATTHEW 25 & ISAIAH 61",Nonfiction,"December 26, 2007",648,3,266
A Parent's Guide to Preventing Homosexuality,Joseph Nicolosi,749,1.85,295,"Homosexuality: is it learned, biological or both?The answer to this question deeply concerns parents. They want to know how they can best raise their children. A common belief today is that nothing can be done to foster the development of healthy heterosexual orientation in children. But the clinical experience and professional research of Dr. Nicolosi and others indicates otherwise.In this groundbreaking book Joseph and Linda Ames Nicolosi uncover the most significant factors that contribute to a child's healthy sense of self as male or female. Listening to moving recollections from ex-homosexual men and women who describe what was missing in their own childhoods, the Nicolosis provide clear insight for identifying potential developmental roadblocks and give practical advice to parents for helping their children securely identify with their gender.Replete with personal stories from parents, children and ex-homosexual strugglers, offers compassion and hope for all those parents who seek to lay a foundation for a healthy heterosexual identity in their children.",Psychology,"September 30, 2002",254,34,556
Coming Out Straight: Understanding and Healing Homosexuality,Richard Cohen,578,1.87,167,"Richard Cohen, a former homosexual, now married with three children, struggled for most of his life with unwanted same-sex attractions. He tried desperately to find professionals who understood his condition and help him heal. Because ""it was so difficult to explain myself to therapists, who didn't have a clue,"" Cohen eventually became a psychotherapist and developed both a groundbreaking understanding of same-sex attractions and a comprehensive treatment plan for healing homosexuality. ""Coming Out Straight"" not only details Cohen's personal journey out of homosexuality but also recounts his experiences helping thousands of men, women and adolescents heal their gender identity. Recoginizing that the ""gay rights movement"" has done a great service in bringing the issue of homosexuality of the closet and into the light, Cohen points out that in the name of tolerance, society has now succumbed to acceptance. ""If we embrace someone's homosexuality as normal and natural, their potential for wholeness will remain dormant beneath their emotional wounds. It's not bad to have same-sex attractions, as they represent a drive to heal unmet love needs. However, acting upon them leads to frustration and pain."" In simple language, ""Coming Out Straight"" presents the basic causes of same-sex attractions, a clear model for recovery, and stories of individuals who made the change. The book has three parts: In Part I, the author shares his own story and the root causes of same-sex attractions. Part II presents a four-stage model of recovery and healing. Part III discusses the healing of homophobia by overcoming fear and hatred of homosexuality. While the book is meant to educate therapists, clergy, and other professionals, it also assists those who struggle with their own same-sex attractions as well as their loved ones. ""Coming Out Straight"" sets forth an easy to understand primer on homosexuality, both for family members and friends of homosexuals, as well as for the general public. It will open the door to a new, happier, and fulfilling heterosexual life.",Psychology,"April 20, 2000",292,13,710
Dianetics: The Modern Science of Mental Health,L. Ron Hubbard,3242,2.42,513,"Discover how to eradicate the SOURCE of stress, anxiety and depressionIf you've ever felt there was something holding you back in life, you were right. It's called the subconscious, unconscious or reactive mind the hidden part of your mind that stores painful experiences, then uses them against you. Dianetics: The Modern Science of Mental Health, the New York Times and International bestseller, shows you how to get rid of the reactive mind for a happier, healthier life. The revolutionary book everyone must read.* 20,000,000 copies in print* Used daily in 154 nations* Translated into 53 languages* Paperback edition, Spanish* Comes with a free DVD containing a special presentation on how to use Dianetics.",Religion,"January 1, 1950",591,240,"3,326"
Scientology: The Fundamentals of Thought,L. Ron Hubbard,948,2.53,104,"Drug addiction, rising divorce rates, increasing crime and illiteracy. Why are people unable to solve some of the most pressing problems of society today? In this book, L. Ron Hubbard gives readers a practical means to overcome personal problems, become more at peace with themselves, improve communication in the family, and find greater happiness.",Religion,"January 1, 1956",229,23,820
Handbook for Mortals,Lani Sarem,934,1.29,395,"Zade Holder has always been a free-spirited young woman, from a long dynasty of tarot-card readers, fortunetellers, and practitioners of magick. Growing up in a small town and never quite fitting in, Zade is determined to forge her own path. She leaves her home in Tennessee to break free from her overprotective mother Dela, the local resident spellcaster and fortuneteller.Zade travels to Las Vegas and uses supernatural powers to become part of a premiere magic show led by the infamous magician Charles Spellman. Zade fits right in with his troupe of artists and misfits. After all, when everyone is slightly eccentric, appearing ""normal"" is much less important.Behind the scenes of this multimillion-dollar production, Zade finds herself caught in a love triangle with Mac, the show's good-looking but rough-around-the-edges technical director and Jackson, the tall, dark, handsome and charming bandleader.",Fantasy,"August 15, 2017",448,40,"1,306"
Authors vs. Goodreads,Zoe Desh,289,1.53,202,"If you are an Independent author, or even a published author thinking about joining Goodreads, I hope you will take a look at my free booklet and closely examine your motives before giving Goodreads, and thus Amazon, a bunch of free information that they will then own and control. If you believe that Goodreads 'Review' system is fair, you need to read about troll review attacks that are also documented widely on the Internet. And let me warn you about a number of broken features on the website that may affect your sales. The main thing you must understand, though, is that you are on the bottom of the food chain at Goodreads. You are the income that keeps the server farm humming but you are entering into an adversarial relationship, not only with the pampered readers but the overworked staff that doesn't even know their own rules when they punish you because there are so damned many rules and the documentation is broken, outdated chaos.The booklet is short and free. It provides a lot of links to information on the Internet that you should know and links to the documentation at Goodreads. If nothing else, at least read the first page and heed the warnings in the links provided.",Nonfiction,"December 28, 2014",26,2,197
Confessions of an Heiress: A Tongue-in-Chic Peek Behind the Pose,Paris Hilton,1741,3.01,159,"Her name is on everyone's lips, but can she help it if she was born rich and famous? Here's a bird's eye view of the fast, fun world of Paris Hilton, packed with enough photos, advice and inside scoop to help anyone become an heiress and live a privileged life. Socialite, fashion icon, television and movie star, recording artist and just plain celebrity: Twenty-two year old Paris Hilton is the great granddaughter of hotel magnate Conrad Hilton and is estimated to be worth USD30 million. The world first became aware of Paris Hilton through a Vanity Fair profile in 2000. Since then, she has graced the pages of countless magazines, newspapers, and tabloids; modeled on the runways of top designers; appeared on television shows as herself ('Saturday Night Live', MTV Music Awards) and as fictional characters (the new Sky One show 'Las Vegas'); had small parts in movies like 'The Cat in the Hat', 'Win a Date with Tad Hamilton' and the upcoming 'The Hillz'; has begun work on an album; and starred in a hit reality series, 'The Simple Life' (shown here on Channel 4). She has been romantically linked with current boyfriend Nick Carter of the Backstreet Boys, Rick Solomon (of the notorious sex tape), and Deryck Whibley of Sum 41.",Nonfiction,"January 1, 2004",192,37,"1,446"
Melanie's Marvelous Measles,Stephanie Messenger,176,1.34,64,"Melanie's Marvelous Measles takes children on a journey to learn about the ineffectiveness of vaccinations and to know they don't have to be scared of childhood illnesses, like measles and chicken pox. There are many health messages for parents to expand on about keeping healthy.",Not listed,"November 29, 2012",40,1,65
