Title,Format,Price
Besos entre líneas,Paperback,18.71
Birth Control is Sinful in the Christian Marriages and also Robbing God of Priesthood Children!!,Paperback,20.95
A Parent's Guide to Preventing Homosexuality,,0.0
Coming Out Straight: Understanding and Healing Homosexuality,,0.0
Dianetics: The Modern Science of Mental Health,Paperback,37.78
Scientology: The Fundamentals of Thought,Paperback,18.8
Handbook for Mortals,Hardcover,13.13
Authors vs. Goodreads,,0.0
Confessions of an Heiress: A Tongue-in-Chic Peek Behind the Pose,Paperback,31.27
Melanie's Marvelous Measles,,0.0
Women Who Work: Rewriting the Rules for Success,Hardcover,14.65
Behind the Bell,Hardcover,43.85
Revealing Eden,Hardcover,38.92
Trigger Warning,Paperback,4.99
Reaper's Creek,Paperback,9.74
The Bible Code,Paperback,6.76
Star,Paperback,14.45
Pride and Promiscuity: The Lost Sex Scenes of Jane Austen,Paperback,7.74
Uninvited,Paperback,8.17
"The Weight Loss Cure """"They"""" Don't Want You to Know About",Paperback,4.42
Maradonia and the Seven Bridges,Paperback,190.03
Pygmy,Paperback,4.8
Barry Trotter and the Unauthorized Parody,Paperback,4.16
Leaving Isn't the Hardest Thing,Paperback,14.95
The Kid,Paperback,13.75
Wild Animus,Hardcover,4.49
The Eye of Argon,Paperback,6.99
Stones To Abbigale,Paperback,6.71
Empress Theresa,Paperback,10.06
Kissing the Coronavirus,Paperback,4.99
Actors Anonymous,Paperback,7.1
The Almost Moon,Hardcover,20.81
The Mask of Gold,,0.0
Revenge Wears Prada: The Devil Returns,Paperback,6.2
Four Blondes,Paperback,9.8
To Train Up a Child,Paperback,4.18
Adam,Paperback,4.86
Holy Terror,Hardcover,31.51
This Is Why I Hate You,Paperback,6.55
Return to the Secret Garden,Paperback,14.29
Pemberley: Or Pride and Prejudice Continued,Paperback,4.32
After Dead: What Came Next in the World of Sookie Stackhouse,Paperback,6.99
"I Want to Tell You: My Response to Your Letters, Your Messages, Your Questions",Hardcover,4.06
Quinn,Paperback,11.42
Pamela,Paperback,3.72
Confessions of a Sociopathic Social Climber: The Katya Livingston Chronicles,Paperback,5.05
Suicide Ride: The Platinum Man,,0.0
The Kingdoms and the Elves of the Reaches,Paperback,14.0
The Clansman,Paperback,32.9
The Chemistry of Tears,Paperback,9.55
